book_idx,tag_idx
1,969
1,331
1,269
1,319
1,777
1,756
1,26
1,875
1,704
1,20
2,319
2,331
2,969
2,558
2,160
2,589
2,26
2,186
2,91
2,778
3,969
3,319
3,756
3,920
3,331
3,669
3,671
3,854
3,875
3,912
4,186
4,331
4,440
4,773
4,534
4,969
4,438
4,652
4,737
4,435
5,186
5,331
5,773
5,534
5,440
5,756
5,652
5,737
5,435
5,49
6,969
6,756
6,331
6,211
6,738
6,875
6,204
6,263
6,652
6,537
7,319
7,186
7,331
7,26
7,969
7,778
7,434
7,160
7,292
7,652
8,186
8,331
8,969
8,534
8,773
8,652
8,204
8,49
8,435
8,737
9,331
9,621
9,886
9,858
9,622
9,26
9,221
9,440
9,652
9,24
10,186
10,331
10,756
10,440
10,534
10,438
10,652
10,442
10,183
10,24
11,331
11,440
11,211
11,186
11,652
11,438
11,534
11,24
11,25
11,263
12,969
12,269
12,331
12,319
12,777
12,756
12,26
12,875
12,704
12,20
15,647
15,186
15,443
15,118
15,582
15,438
15,450
15,93
15,932
15,964
16,331
16,621
16,858
16,211
16,24
16,25
16,861
16,886
16,91
16,221
17,969
17,269
17,331
17,319
17,777
17,756
17,26
17,875
17,704
17,20
18,319
18,969
18,331
18,558
18,160
18,26
18,589
18,91
18,186
18,778
20,969
20,269
20,331
20,319
20,777
20,756
20,26
20,875
20,704
20,778
21,319
21,969
21,331
21,558
21,160
21,26
21,91
21,589
21,186
21,778
22,331
22,621
22,969
22,211
22,319
22,221
22,24
22,25
22,263
22,652
23,319
23,969
23,331
23,558
23,160
23,589
23,26
23,91
23,186
23,778
24,319
24,969
24,331
24,558
24,160
24,26
24,91
24,589
24,186
24,778
25,319
25,969
25,331
25,558
25,160
25,26
25,91
25,589
25,186
25,778
26,331
26,621
26,886
26,858
26,622
26,440
26,26
26,652
26,221
26,24
27,319
27,969
27,331
27,558
27,160
27,26
27,91
27,589
27,186
27,778
28,186
28,331
28,969
28,773
28,534
28,269
28,737
28,652
28,435
28,26
29,186
29,687
29,331
29,756
29,773
29,263
29,737
29,534
29,435
29,689
30,331
30,621
30,886
30,221
30,622
30,858
30,211
30,24
30,25
30,91
31,331
31,440
31,438
31,24
31,25
31,211
31,91
31,186
31,159
31,127
32,186
32,331
32,773
32,440
32,534
32,737
32,652
32,435
32,49
32,183
33,331
33,440
33,756
33,438
33,186
33,488
33,24
33,652
33,84
33,25
34,756
34,331
34,299
34,24
34,95
34,211
